t,o,h,l,c
1782919800,30342.5,30356.5,30315,30318.5
1782920100,30317.75,30327.75,30285.25,30296.5
1782920400,30297.5,30318.75,30278.25,30291.25
1782920700,30291.5,30296.5,30246.25,30251.75
1782921000,30251.75,30272.5,30236,30237.25
1782921300,30238,30268.25,30228,30254.75
1782921600,30255,30278.25,30235,30243.25
1782921900,30244,30267,30232.5,30239.5
1782922200,30239.5,30261.5,30223.25,30242.25
1782922500,30241.25,30260.75,30217.25,30256.25
1782922800,30256,30284.25,30248,30267
1782923100,30267.75,30274.25,30243.75,30245.75
1782923400,30245.75,30263,30237.25,30256.75
1782923700,30256.75,30256.75,30219,30220
1782924000,30220,30229,30201.75,30223.75
1782924300,30223.25,30241.5,30203.75,30217.5
1782924600,30218,30229.25,30197,30214.5
1782924900,30214.75,30220,30172.75,30190.25
1782925200,30190,30217.5,30171,30181.25
1782925500,30179.5,30193.25,30152.25,30185.25
1782925800,30184.5,30206,30165.5,30198
1782926100,30197.5,30214,30188.25,30212.75
1782926400,30213.25,30235.75,30209.75,30230.75
1782926700,30231,30240.5,30203.75,30210
1782927000,30209.25,30223.5,30186.75,30198.5
1782927300,30200.5,30210.75,30184.5,30205.5
1782927600,30206.25,30214,30185.5,30188.25
1782927900,30189.25,30196.5,30168.5,30181.75
1782928200,30181.75,30207.5,30180.25,30193.5
1782928500,30193.5,30195.5,30157.5,30163.75
1782928800,30164.25,30187.75,30158.5,30185.5
1782929100,30186.5,30187.5,30168,30184.25
1782929400,30184.75,30190,30153.5,30155.5
1782929700,30155.5,30166.25,30137.75,30163.75
1782930000,30163.75,30176.5,30156.25,30174.75
1782930300,30175.5,30182.25,30158.75,30159.5
1782930600,30158.75,30165.75,30143.75,30161
1782930900,30161,30174.75,30149,30154.25
1782931200,30154.75,30158.75,30132.5,30145.25
1782931500,30145.25,30145.5,30109.25,30122.25
1782931800,30122.75,30135,30101.75,30102.75
1782932100,30102.5,30136.25,30099,30132.75
1782932400,30132.75,30179.5,30127.25,30178.5
1782932700,30178.75,30217,30173.5,30212.5
1782933000,30213,30214.5,30182,30186.75
1782933300,30187.25,30198,30168,30194.75
1782933600,30193.75,30210.75,30190.75,30206.5
1782933900,30207,30208.75,30171.5,30190
1782934200,30190,30231.5,30190,30213.25
1782934500,30213.25,30213.25,30163,30166.5
1782934800,30166,30169.75,30134.25,30143.25
1782935100,30143.5,30145.5,30122,30133.5
1782935400,30132.25,30161.75,30094.5,30117.5
1782935700,30117.5,30119.25,30054,30080.25
1782936000,30080.25,30086.25,30008.5,30029.25
1782936300,30029.75,30055.75,30016,30042.75
1782936600,30042.25,30069.25,30040.5,30060.75
1782936900,30060.25,30060.5,30031.75,30033.75
1782937200,30034.5,30057.75,30026.25,30055.75
1782937500,30056,30065.25,30039,30052.5
1782937800,30052.5,30057.75,30033.5,30036.75
1782938100,30036.75,30047.75,30020.5,30047.25
1782938400,30047.75,30053.75,30041.5,30051.75
1782938700,30052.75,30062.25,30049,30055.75
1782939000,30056,30057.5,30041.5,30045.75
1782939300,30046.75,30075,30043.75,30064.25
1782943200,30089.75,30109.75,30064,30071.5
1782943500,30071,30099.5,30064,30079.75
1782943800,30080.75,30081.75,30052.25,30052.25
1782944100,30054.5,30068.5,30051.5,30068.5
1782944400,30068.5,30097,30068.5,30093
1782944700,30094,30102.5,30090.75,30094.75
1782945000,30095,30113,30091.75,30109.25
1782945300,30108.25,30113,30101,30107.5
1782945600,30108.25,30111.5,30101,30102.75
1782945900,30104.75,30106.5,30087,30090.5
1782946200,30090.25,30094.5,30081.25,30085.75
1782946500,30085,30118,30084.25,30107.25
1782946800,30108.25,30111,30092.25,30093.5
1782947100,30092.5,30093.75,30075.75,30080
1782947400,30081.75,30087.5,30060.75,30063.5
1782947700,30063,30068.5,30054,30059.5
1782948000,30059.5,30069,30054.25,30057.25
1782948300,30058.75,30068.75,30058.25,30067.25
1782948600,30068.75,30068.75,30048.5,30048.75
1782948900,30049.5,30075,30041.5,30069
1782949200,30069,30075.25,30063.75,30071.75
1782949500,30073.75,30073.75,30022.75,30026
1782949800,30026.25,30055,30010.25,30048.5
1782950100,30048.25,30052.5,30035.25,30042.75
1782950400,30046,30046,29952.5,29957.25
1782950700,29956.75,30003.75,29956,29999.25
1782951000,29996.25,30040.25,29991,29998.75
1782951300,30002,30012.25,29977.25,29978.25
1782951600,29981.5,30050,29975.75,30045.75
1782951900,30046.25,30068,30024.75,30062.5
1782952200,30063.25,30065,30037.75,30048
1782952500,30051.25,30080.75,30046.25,30060.5
1782952800,30060,30069,30011,30013
1782953100,30012.25,30055,30006.5,30051
1782953400,30052,30097.25,30043,30097.25
1782953700,30095.5,30117.25,30093.25,30110.25
